,datetime,close,high,low,open,volume,instrument,SMA20,SMA50,Signal,Position,Buy,Sell
2014-01-24 00:00:00,2014-01-24 00:00:00,114.0,115.35,113.0,113.15,5737135,HINDALCO,,,0,,,
2014-01-27 00:00:00,2014-01-27 00:00:00,111.1,112.7,109.3,112.0,8724577,HINDALCO,,,0,0.0,,
2014-01-28 00:00:00,2014-01-28 00:00:00,113.8,115.0,109.75,110.0,4513345,HINDALCO,,,0,0.0,,
2014-01-29 00:00:00,2014-01-29 00:00:00,111.75,114.75,111.15,114.5,4713458,HINDALCO,,,0,0.0,,
2014-01-30 00:00:00,2014-01-30 00:00:00,108.1,110.7,107.6,110.2,5077231,HINDALCO,,,0,0.0,,
2014-01-31 00:00:00,2014-01-31 00:00:00,109.55,110.0,107.0,109.05,8287236,HINDALCO,,,0,0.0,,
2014-02-03 00:00:00,2014-02-03 00:00:00,103.45,109.4,103.0,109.0,5572627,HINDALCO,,,0,0.0,,
2014-02-04 00:00:00,2014-02-04 00:00:00,102.45,103.45,99.8,102.0,13935173,HINDALCO,,,0,0.0,,
2014-02-05 00:00:00,2014-02-05 00:00:00,104.25,105.15,101.0,102.4,9106760,HINDALCO,,,0,0.0,,
2014-02-06 00:00:00,2014-02-06 00:00:00,105.75,106.5,103.1,104.65,10194884,HINDALCO,,,0,0.0,,
2014-02-07 00:00:00,2014-02-07 00:00:00,106.4,107.7,104.75,106.15,9650511,HINDALCO,,,0,0.0,,
2014-02-10 00:00:00,2014-02-10 00:00:00,106.8,107.7,105.8,106.45,3124538,HINDALCO,,,0,0.0,,
2014-02-11 00:00:00,2014-02-11 00:00:00,104.55,107.1,104.25,106.9,3964390,HINDALCO,,,0,0.0,,
2014-02-12 00:00:00,2014-02-12 00:00:00,103.5,105.6,103.05,105.15,5325176,HINDALCO,,,0,0.0,,
2014-02-13 00:00:00,2014-02-13 00:00:00,100.2,104.55,99.75,103.9,12652556,HINDALCO,,,0,0.0,,
2014-02-14 00:00:00,2014-02-14 00:00:00,99.9,101.0,97.85,100.75,6390793,HINDALCO,,,0,0.0,,
2014-02-17 00:00:00,2014-02-17 00:00:00,98.5,100.75,97.65,100.0,6870442,HINDALCO,,,0,0.0,,
2014-02-18 00:00:00,2014-02-18 00:00:00,99.3,100.5,97.75,98.7,8475360,HINDALCO,,,0,0.0,,
2014-02-19 00:00:00,2014-02-19 00:00:00,98.85,100.1,98.4,99.6,4582897,HINDALCO,,,0,0.0,,
2014-02-20 00:00:00,2014-02-20 00:00:00,97.35,98.55,97.05,98.5,3404267,HINDALCO,104.9775,,0,0.0,,
2014-02-21 00:00:00,2014-02-21 00:00:00,97.65,98.25,97.3,97.3,6484994,HINDALCO,104.16,,0,0.0,,
2014-02-24 00:00:00,2014-02-24 00:00:00,97.45,98.8,96.7,97.65,8047904,HINDALCO,103.4775,,0,0.0,,
2014-02-25 00:00:00,2014-02-25 00:00:00,98.8,99.05,97.0,97.15,15034041,HINDALCO,102.72749999999999,,0,0.0,,
2014-02-26 00:00:00,2014-02-26 00:00:00,98.4,99.75,98.05,99.75,12130348,HINDALCO,102.05999999999999,,0,0.0,,
2014-02-28 00:00:00,2014-02-28 00:00:00,105.35,106.4,99.0,99.0,26493472,HINDALCO,101.9225,,0,0.0,,
2014-03-03 00:00:00,2014-03-03 00:00:00,105.6,107.35,104.7,105.0,9870841,HINDALCO,101.725,,0,0.0,,
2014-03-04 00:00:00,2014-03-04 00:00:00,113.6,114.25,105.4,105.4,16427565,HINDALCO,102.2325,,0,0.0,,
2014-03-05 00:00:00,2014-03-05 00:00:00,115.75,117.2,112.2,114.85,12023136,HINDALCO,102.8975,,0,0.0,,
2014-03-06 00:00:00,2014-03-06 00:00:00,120.8,121.2,114.7,115.75,16609108,HINDALCO,103.725,,0,0.0,,
2014-03-07 00:00:00,2014-03-07 00:00:00,124.55,125.85,119.8,120.1,15695038,HINDALCO,104.66499999999999,,0,0.0,,
2014-03-10 00:00:00,2014-03-10 00:00:00,121.95,123.5,121.0,123.05,8823020,HINDALCO,105.4425,,0,0.0,,
2014-03-11 00:00:00,2014-03-11 00:00:00,117.4,121.9,116.2,121.9,14421017,HINDALCO,105.9725,,0,0.0,,
2014-03-12 00:00:00,2014-03-12 00:00:00,114.75,118.4,113.95,115.7,9497798,HINDALCO,106.4825,,0,0.0,,
